country_name,unit_desc,country_code,county_code,location_desc,county_ansi,domaincat_desc,group_desc,state_alpha,watershed_code,domain_desc,sector_desc,week_ending,Value,state_name,statisticcat_desc,asd_code,load_time,prodn_practice_desc,begin_code,state_fips_code,commodity_desc,agg_level_desc,source_desc,county_name,util_practice_desc,reference_period_desc,region_desc,end_code,CV (%),year,congr_district_code,watershed_desc,asd_desc,freq_desc,zip_5,class_desc,state_ansi,short_desc
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.13,IOWA,PRICE RECEIVED,,2026-02-27 15:00:00.000,ALL PRODUCTION PRACTICES,01,19,CORN,STATE,SURVEY,,GRAIN,JAN,,01,,2026,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.12,IOWA,PRICE RECEIVED,,2026-03-30 15:00:00.000,ALL PRODUCTION PRACTICES,02,19,CORN,STATE,SURVEY,,GRAIN,FEB,,02,,2026,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.28,IOWA,PRICE RECEIVED,,2026-04-30 15:00:00.000,ALL PRODUCTION PRACTICES,03,19,CORN,STATE,SURVEY,,GRAIN,MAR,,03,,2026,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.29,IOWA,PRICE RECEIVED,,2026-05-29 15:00:00.000,ALL PRODUCTION PRACTICES,04,19,CORN,STATE,SURVEY,,GRAIN,APR,,04,,2026,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.45,IOWA,PRICE RECEIVED,,2026-06-29 15:00:00.000,ALL PRODUCTION PRACTICES,05,19,CORN,STATE,SURVEY,,GRAIN,MAY,,05,,2026,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.37,IOWA,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,01,19,CORN,STATE,SURVEY,,GRAIN,JAN,,01,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.59,IOWA,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,02,19,CORN,STATE,SURVEY,,GRAIN,FEB,,02,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.53,IOWA,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,03,19,CORN,STATE,SURVEY,,GRAIN,MAR,,03,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.64,IOWA,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,04,19,CORN,STATE,SURVEY,,GRAIN,APR,,04,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.64,IOWA,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,05,19,CORN,STATE,SURVEY,,GRAIN,MAY,,05,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.46,IOWA,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,06,19,CORN,STATE,SURVEY,,GRAIN,JUN,,06,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.2,IOWA,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,07,19,CORN,STATE,SURVEY,,GRAIN,JUL,,07,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,3.89,IOWA,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,08,19,CORN,STATE,SURVEY,,GRAIN,AUG,,08,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,3.9,IOWA,PRICE RECEIVED,,2025-12-15 15:00:00.000,ALL PRODUCTION PRACTICES,09,19,CORN,STATE,SURVEY,,GRAIN,SEP,,09,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,3.9,IOWA,PRICE RECEIVED,,2025-12-15 15:00:00.000,ALL PRODUCTION PRACTICES,10,19,CORN,STATE,SURVEY,,GRAIN,OCT,,10,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,3.99,IOWA,PRICE RECEIVED,,2025-12-31 15:00:00.000,ALL PRODUCTION PRACTICES,11,19,CORN,STATE,SURVEY,,GRAIN,NOV,,11,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.21,IOWA,PRICE RECEIVED,,2026-01-30 15:00:00.000,ALL PRODUCTION PRACTICES,12,19,CORN,STATE,SURVEY,,GRAIN,DEC,,12,,2025,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.84,IOWA,PRICE RECEIVED,,2024-09-27 15:00:00.000,ALL PRODUCTION PRACTICES,01,19,CORN,STATE,SURVEY,,GRAIN,JAN,,01,,2024,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.39,IOWA,PRICE RECEIVED,,2024-09-27 15:00:00.000,ALL PRODUCTION PRACTICES,02,19,CORN,STATE,SURVEY,,GRAIN,FEB,,02,,2024,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,,IOWA,,NOT SPECIFIED,FIELD CROPS,IA,00000000,TOTAL,CROPS,,4.43,IOWA,PRICE RECEIVED,,2024-09-27 15:00:00.000,ALL PRODUCTION PRACTICES,03,19,CORN,STATE,SURVEY,,GRAIN,MAR,,03,,2024,,,,MONTHLY,,ALL CLASSES,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
