region_desc,reference_period_desc,source_desc,county_name,util_practice_desc,commodity_desc,agg_level_desc,state_fips_code,begin_code,short_desc,state_ansi,zip_5,class_desc,watershed_desc,asd_desc,congr_district_code,freq_desc,year,end_code,CV (%),watershed_code,group_desc,state_alpha,domaincat_desc,county_code,county_ansi,location_desc,country_code,unit_desc,country_name,prodn_practice_desc,load_time,asd_code,statisticcat_desc,state_name,week_ending,Value,sector_desc,domain_desc
,JAN,SURVEY,,GRAIN,CORN,STATE,31,01,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2026,01,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2026-02-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.08,CROPS,TOTAL
,FEB,SURVEY,,GRAIN,CORN,STATE,31,02,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2026,02,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2026-03-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.01,CROPS,TOTAL
,MAR,SURVEY,,GRAIN,CORN,STATE,31,03,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2026,03,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2026-04-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.16,CROPS,TOTAL
,APR,SURVEY,,GRAIN,CORN,STATE,31,04,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2026,04,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2026-05-29 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.23,CROPS,TOTAL
,MAY,SURVEY,,GRAIN,CORN,STATE,31,05,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2026,05,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2026-06-29 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.43,CROPS,TOTAL
,JAN,SURVEY,,GRAIN,CORN,STATE,31,01,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,01,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.4,CROPS,TOTAL
,FEB,SURVEY,,GRAIN,CORN,STATE,31,02,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,02,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.6,CROPS,TOTAL
,MAR,SURVEY,,GRAIN,CORN,STATE,31,03,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,03,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.65,CROPS,TOTAL
,APR,SURVEY,,GRAIN,CORN,STATE,31,04,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,04,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.66,CROPS,TOTAL
,MAY,SURVEY,,GRAIN,CORN,STATE,31,05,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,05,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.67,CROPS,TOTAL
,JUN,SURVEY,,GRAIN,CORN,STATE,31,06,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,06,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.48,CROPS,TOTAL
,JUL,SURVEY,,GRAIN,CORN,STATE,31,07,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,07,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.41,CROPS,TOTAL
,AUG,SURVEY,,GRAIN,CORN,STATE,31,08,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,08,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,3.97,CROPS,TOTAL
,SEP,SURVEY,,GRAIN,CORN,STATE,31,09,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,09,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-12-15 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.02,CROPS,TOTAL
,OCT,SURVEY,,GRAIN,CORN,STATE,31,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,10,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-12-15 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,3.96,CROPS,TOTAL
,NOV,SURVEY,,GRAIN,CORN,STATE,31,11,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,11,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-12-31 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.01,CROPS,TOTAL
