country_name,unit_desc,country_code,location_desc,county_ansi,county_code,state_alpha,domaincat_desc,group_desc,watershed_code,domain_desc,sector_desc,state_name,week_ending,Value,statisticcat_desc,asd_code,load_time,prodn_practice_desc,begin_code,state_fips_code,agg_level_desc,commodity_desc,util_practice_desc,source_desc,county_name,reference_period_desc,region_desc,CV (%),end_code,year,freq_desc,asd_desc,watershed_desc,congr_district_code,zip_5,class_desc,state_ansi,short_desc
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.19,PRICE RECEIVED,,2026-02-27 15:00:00.000,ALL PRODUCTION PRACTICES,01,39,STATE,CORN,GRAIN,SURVEY,,JAN,,,01,2026,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.41,PRICE RECEIVED,,2026-03-30 15:00:00.000,ALL PRODUCTION PRACTICES,02,39,STATE,CORN,GRAIN,SURVEY,,FEB,,,02,2026,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.59,PRICE RECEIVED,,2026-04-30 15:00:00.000,ALL PRODUCTION PRACTICES,03,39,STATE,CORN,GRAIN,SURVEY,,MAR,,,03,2026,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.68,PRICE RECEIVED,,2026-05-29 15:00:00.000,ALL PRODUCTION PRACTICES,04,39,STATE,CORN,GRAIN,SURVEY,,APR,,,04,2026,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.84,PRICE RECEIVED,,2026-06-29 15:00:00.000,ALL PRODUCTION PRACTICES,05,39,STATE,CORN,GRAIN,SURVEY,,MAY,,,05,2026,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.33,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,01,39,STATE,CORN,GRAIN,SURVEY,,JAN,,,01,2025,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.67,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,02,39,STATE,CORN,GRAIN,SURVEY,,FEB,,,02,2025,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.66,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,03,39,STATE,CORN,GRAIN,SURVEY,,MAR,,,03,2025,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.8,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,04,39,STATE,CORN,GRAIN,SURVEY,,APR,,,04,2025,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.87,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,05,39,STATE,CORN,GRAIN,SURVEY,,MAY,,,05,2025,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.7,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,06,39,STATE,CORN,GRAIN,SURVEY,,JUN,,,06,2025,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.57,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,07,39,STATE,CORN,GRAIN,SURVEY,,JUL,,,07,2025,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,4.16,PRICE RECEIVED,,2025-09-30 15:00:00.000,ALL PRODUCTION PRACTICES,08,39,STATE,CORN,GRAIN,SURVEY,,AUG,,,08,2025,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
UNITED STATES,$ / BU,9000,OHIO,,,OH,NOT SPECIFIED,FIELD CROPS,00000000,TOTAL,CROPS,OHIO,,3.97,PRICE RECEIVED,,2025-12-15 15:00:00.000,ALL PRODUCTION PRACTICES,09,39,STATE,CORN,GRAIN,SURVEY,,SEP,,,09,2025,MONTHLY,,,,,ALL CLASSES,39,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU"
