lag_months,cross_correlation
-12,0.13447947947464226
-11,0.0682671098257589
-10,0.00925185712910445
-9,-0.05383574305752338
-8,-0.019781954186879006
-7,-0.0038893617444234084
-6,-0.12623689913778044
-5,-0.06903393790541103
-4,-0.0009101210935447637
-3,0.12639660663485905
-2,0.0916039793159793
-1,0.3513385584884685
0,0.9178589555231279
1,0.4623275782169047
2,0.12389377695585582
3,0.14022480103958726
4,0.0481888464031401
5,-0.03605781995938986
6,-0.0659031531446059
7,-0.03251413550148872
8,-0.07306949503883861
9,-0.01195628278064519
10,-0.006149339217785682
11,0.07839732695445545
12,0.13936759891112946
