lag_months,cross_correlation
-12,0.11597659982951689
-11,0.11587637148086619
-10,0.018515261326380792
-9,-0.058292215117724366
-8,-0.10963846509406518
-7,-0.08248701474693673
-6,-0.14666505351365625
-5,-0.1280224816028152
-4,-0.020052644256722586
-3,0.11850799685009775
-2,0.037318267479853055
-1,0.40099362540327776
0,0.8402682684237607
1,0.40177248692045286
2,0.170762945386965
3,0.09346442543319228
4,-0.03525943567122912
5,-0.06162943104437989
6,-0.07338126574277298
7,-0.03801978051027391
8,-0.07078970949845548
9,-0.0361457690687463
10,0.0011975287639957588
11,0.037447810633837036
12,0.10285280093733205
